Ano,Jogo,Gênero,Estúdio
2001/2,Final Fantasy X,Role-playing,Square
2003,Final Fantasy XI,MMORPG,Square
2004,Monster Hunter,Action role-playing,Capcom
2005,Dragon Quest VIII,Role-playing,Level-5
2006,Final Fantasy XII,Role-playing,Square Enix
2007,Wii Sports,Sports,Nintendo EAD
2008,Wii Fit,Fitness,Nintendo EAD
2009,Metal Gear Solid 4: Guns of the Patriots,Action-adventure,Kojima Productions
2010,New Super Mario Bros. Wii,Platformer,Nintendo EAD
2011,Monster Hunter Portable 3rd,Action role-playing,Capcom
2012,Gravity Rush,Action-adventure,Project Siren
2013,Animal Crossing: New Leaf,Social simulation,Nintendo EAD
2014,Monster Hunter 4,Action role-playing,Capcom
2015,Yo-kai Watch 2,Role-playing,Level-5
2016,Splatoon,Third-person shooter,Nintendo EAD
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,Monster Hunter: World,Action role-playing,Capcom
2019,Super Smash Bros. Ultimate,Fighting,"Bandai Namco Studios, Sora Ltd."
2020,Animal Crossing: New Horizons,Social simulation,Nintendo EPD
2021,Ghost of Tsushima,Action-adventure,Sucker Punch Productions
2022,Elden Ring,Action role-playing,FromSoftware
2023,Monster Hunter Rise: Sunbreak,Action role-playing,Capcom
2024,The Legend of Zelda: Tears of the Kingdom,Action role-playing,Nintendo EPD
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,The Walking Dead,Graphic adventure,Telltale Games
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Wolfenstein: The New Order,First-person shooter,MachineGames
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,The Outer Worlds,Action role-playing,Obsidian Entertainment
2020,Hades,Action role-playing,Supergiant Games
2021,Psychonauts 2,Platformer,Double Fine
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Astro Bot,Platformer,Team Asobi
2003,Madden NFL 2004,Sports,EA Tiburon
2004,Grand Theft Auto: San Andreas,Action-adventure,Rockstar North
2005,Resident Evil 4,Survival horror,Capcom
2006,The Elder Scrolls IV: Oblivion,Action role-playing,Bethesda Game Studios
2007,BioShock,First-person shooter,Irrational Games
2008,Grand Theft Auto IV,Action-adventure,Rockstar North
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,The Walking Dead,Graphic adventure,Telltale Games
2013,Grand Theft Auto V,Action-adventure,Rockstar North
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Dragon Age: Inquisition,Action role-playing,BioWare
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware
2020,Hades,Action role-playing,Supergiant Games
2021,Final Fantasy XIV: Endwalker,MMORPG,Square Enix
1982,Pac-Man,Maze,Namco
1993,NBA Jam,Sports,Midway Games
1994,Donkey Kong Country,Platformer,Rare
1995,Donkey Kong Country 2: Diddy's Kong Quest,Platformer,Rare
1997,GoldenEye 007,First-person shooter,Rare
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
1999,Pokémon Stadium,Strategy,Nintendo EAD
2000,Tony Hawk's Pro Skater 2,Sports,Neversoft
2012,Dishonored,Action-adventure,Arkane Studios
2013,"Papers, Please",Puzzle,3909 LLC
2014,Dragon Age: Inquisition,Action role-playing,BioWare
2015,Rocket League,Sports,Psyonix
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,Super Mario Odyssey,Platformer,Nintendo EPD
2018,Celeste,Platformer,Maddy Makes Games
2019,Control,Action-adventure,Remedy Entertainment
2020,Hades,Action role-playing,Supergiant Games
2021,Psychonauts 2,Platform,Double Fine
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2007,BioShock,First-person shooter,Irrational Games
2008,Left 4 Dead,First-person shooter,Valve
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog
2010,Super Mario Galaxy 2,Platform,Nintendo EAD
2011,Portal 2,Puzzle-platform,Valve
2012,The Walking Dead,Graphic adventure,Telltale Games
2013,The Last of Us,Action-adventure,Naughty Dog
2014,Bayonetta 2,Hack 'n' slash,PlatinumGames
2015,Bloodborne,Action role-playing,FromSoftware
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,The Outer Worlds,Action role-playing,Obsidian Entertainment
2020,Hades,Action role-playing,Supergiant Games
2021,Chicory: A Colorful Tale,Adventure,Greg Lobanov
2022,Elden Ring,Action role-playing,FromSoftware
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD
2024,Astro Bot,Platformer,Team Asobi
2016,The Last Guardian,Action-adventure,Japan Studio
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Sekiro: Shadows Die Twice,Action-adventure,FromSoftware
2020,Half-Life: Alyx,First-person shooter,Valve
2021,Returnal,Third-person shooter,Housemarque
2022,Elden Ring,Action role-playing,FromSoftware
2023,Resident Evil 4,Survival horror,Capcom
2024,Balatro,Roguelike deck-building,LocalThunk
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
1999,Gran Turismo 2,Racing simulation,Polyphony Digital
2002,Metroid Prime,Action-adventure,Retro Studios
2004,Half-Life 2,First-person shooter,Valve
2005,Resident Evil 4,Survival horror,Capcom
2006,Final Fantasy XII,Role-playing,Square Enix
2007,Super Mario Galaxy,Platformer,Nintendo EAD
2008,Grand Theft Auto IV,Action-adventure,Rockstar North
2009,Borderlands,Action role-playing,Gearbox Software
2010,Super Mario Galaxy 2,Platformer,Nintendo EAD
2011,The Legend of Zelda: Skyward Sword,Action-adventure,Nintendo EAD
2012,Dishonored,Action-adventure,Arkane Studios
2013,Grand Theft Auto V,Action-adventure,Rockstar North
2014,Bayonetta 2,Action,PlatinumGames
2015,Bloodborne,Action role-playing,FromSoftware
2016,The Last Guardian,Action-adventure,Japan Studio
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games
2019,Outer Wilds,Action-adventure,Mobius Digital
2021,Deathloop,First-person shooter,Arkane Studios
2022,Elden Ring,Action role-playing,FromSoftware
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD
2024,Astro Bot,Platformer,Team Asobi
1988,Double Dragon,Beat 'em up,Technōs Japan
1989,Ghouls 'n Ghosts,Platform,Capcom
1990,Strider,Platform,Capcom
1991,Sonic the Hedgehog,Platformer,Sonic Team
1992,Street Fighter II,Fighting,Capcom
1993,Samurai Shodown,Fighting,SNK
1994,Donkey Kong Country,Platformer,Rare
1995,Twisted Metal,Vehicular combat,SingleTrac
1996,Super Mario 64,Platformer,Nintendo EAD
1997,GoldenEye 007,First-person shooter,Rare
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD
1999,Soulcalibur,Fighting,Namco
2000,Tony Hawk's Pro Skater 2,Sports,Neversoft
2001,Halo: Combat Evolved,First-person shooter,Bungie
2002,Metroid Prime,Action-adventure,Retro Studios
2003,Prince of Persia: The Sands of Time,Action-adventure,Ubisoft Montreal
2004,Halo 2,First-person shooter,Bungie
2005,Resident Evil 4,Survival horror,Capcom
2006,The Legend of Zelda: Twilight Princess,Action-adventure,Nintendo EAD
2007,BioShock,First-person shooter,Irrational Games
2008,Grand Theft Auto IV,Action-adventure,Rockstar North
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios
2012,Far Cry 3,First-person shooter,Ubisoft Montreal
2013,BioShock Infinite,First-person shooter,Irrational Games
2014,Dragon Age: Inquisition,Action role-playing,BioWare
2015,The Witcher 3: Wild Hunt,Action role-playing,CD Projekt Red
2016,Overwatch,First-person shooter,Blizzard Entertainment
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,Red Dead Redemption 2,Action-adventure,Rockstar Games
2019,Control,Action-adventure,Remedy Entertainment
2020,The Last of Us Part II,Action-adventure,Naughty Dog
2021,Psychonauts 2,Platform,Double Fine
2022,Elden Ring,Action role-playing,FromSoftware
2014,Dark Souls II,Action role-playing,FromSoftware
2015,Bloodborne,Action role-playing,FromSoftware
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog
2017,Super Mario Odyssey,Platform,Nintendo EAD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Resident Evil 2,Action-adventure,Capcom
2020,The Last of Us Part II,Action-adventure,Naughty Dog
2021,Deathloop,First-person shooter,Arkane Studios
2022,Elden Ring,Action role-playing,FromSoftware
2023,Baldur's Gate 3,Role-playing,Larian Studios
2024,Astro Bot,Platformer,Team Asobi
2007,BioShock,First-person shooter,Irrational Games
2008,Wii Fit,Fitness game,Nintendo EAD
2010,Red Dead Redemption,Action-adventure,Rockstar San Diego
2012,Journey,Adventure,Thatgamecompany
2013,BioShock Infinite,First-person shooter,Irrational Games
2015,Metal Gear Solid V: The Phantom Pain,Action-adventure,Kojima Productions
2016,Inside,Puzzle-platformer,Playdead
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD
2018,God of War,Action-adventure,Santa Monica Studio
2019,Resident Evil 2,Survival horror,Capcom
2020,The Last of Us Part II,Action-adventure,Naughty Dog
2021,Resident Evil Village,Survival horror,Capcom
1999,Unreal Tournament,First-person shooter,Epic Games
2000,Deus Ex,Action role-playing,Ion Storm
2001,Grand Theft Auto III,Action-adventure,DMA Design
2002,Ico,Action-adventure,Team Ico
2003,Grand Theft Auto: Vice City,Action-adventure,Rockstar North
2004,Half-Life 2,First-person shooter,Valve
2005,Psychonauts,Platformer,Double Fine Productions
2006,Guitar Hero,Rhythm,Harmonix
2007,Portal,Puzzle-platformer,Valve
2008,LittleBigPlanet,Puzzle-platformer,Media Molecule
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog
2010,Mass Effect 2,Action role-playing,BioWare
2011,Portal 2,Puzzle-platformer,Valve
2012,Fez,Puzzle-platformer,Polytron Corporation
2013,Super Mario 3D World,Platformer,Nintendo EAD
2014,Mario Kart 8,Racing,Nintendo EAD
